datetime,symbol,open,high,low,close,volume
2024-11-12 11:30:00,AMEX:SPY,596.49,596.66,594.37,595.83,597179.0
2024-11-12 12:30:00,AMEX:SPY,595.81,598.28,595.8,597.98,657245.0
2024-11-12 13:30:00,AMEX:SPY,597.99,598.4,597.18,597.4,667410.0
2024-11-12 14:30:00,AMEX:SPY,597.38,597.57,596.51,596.88,1225528.0
2024-11-13 08:30:00,AMEX:SPY,597.37,597.71,594.989,596.329,814044.0
2024-11-13 09:30:00,AMEX:SPY,596.35,598.14,596.05,597.98,542559.0
2024-11-13 10:30:00,AMEX:SPY,597.96,599.06,597.22,598.46,583332.0
2024-11-13 11:30:00,AMEX:SPY,598.42,599.23,598.3,598.77,601721.0
2024-11-13 12:30:00,AMEX:SPY,598.75,599.16,597.8,597.92,519679.0
2024-11-13 13:30:00,AMEX:SPY,597.92,598.14,596.69,597.57,809059.0
2024-11-13 14:30:00,AMEX:SPY,597.55,598.54,596.48,597.18,1954266.0
2024-11-14 08:30:00,AMEX:SPY,597.32,597.81,595.149,596.439,736225.0
2024-11-14 09:30:00,AMEX:SPY,596.41,596.94,595.865,596.46,407890.0
2024-11-14 10:30:00,AMEX:SPY,596.48,596.93,594.7,594.81,440110.0
2024-11-14 11:30:00,AMEX:SPY,594.83,595.72,593.74,595.13,474402.0
2024-11-14 12:30:00,AMEX:SPY,595.14,595.3,593.77,595.13,381409.0
2024-11-14 13:30:00,AMEX:SPY,595.13,595.79,593.02,594.14,777355.0
2024-11-14 14:30:00,AMEX:SPY,594.15,594.35,592.65,593.38,1685252.0
2024-11-15 08:30:00,AMEX:SPY,589.77,590.2,586.67,586.81,1704432.0
2024-11-15 09:30:00,AMEX:SPY,586.77,587.6,586.03,587.23,873779.0
2024-11-15 10:30:00,AMEX:SPY,587.22,587.38,585.22,585.48,934611.0
2024-11-15 11:30:00,AMEX:SPY,585.44,585.81,584.64,585.39,665164.0
2024-11-15 12:30:00,AMEX:SPY,585.37,585.37,583.86,584.09,649518.0
2024-11-15 13:30:00,AMEX:SPY,584.12,586.23,584.03,585.3,928714.0
2024-11-15 14:30:00,AMEX:SPY,585.31,586.19,584.73,585.73,1226780.0
2024-11-18 08:30:00,AMEX:SPY,586.22,587.39,585.35,587.37,815220.0
2024-11-18 09:30:00,AMEX:SPY,587.36,589.15,587.31,588.65,596357.0
2024-11-18 10:30:00,AMEX:SPY,588.65,589.49,587.83,588.35,535341.0
2024-11-18 11:30:00,AMEX:SPY,588.35,588.68,587.75,588.15,323454.0
2024-11-18 12:30:00,AMEX:SPY,588.14,588.44,587.02,587.28,490585.0
2024-11-18 13:30:00,AMEX:SPY,587.28,588.41,587.1,588.4,480919.0
2024-11-18 14:30:00,AMEX:SPY,588.38,588.39,587.51,588.13,1400458.0
2024-11-19 08:30:00,AMEX:SPY,584.69,586.49,584.02,586.46,1101292.0
2024-11-19 09:30:00,AMEX:SPY,586.45,589.0,586.11,588.87,690219.0
2024-11-19 10:30:00,AMEX:SPY,588.899,589.24,588.04,588.98,578603.0
2024-11-19 11:30:00,AMEX:SPY,588.97,589.63,588.76,589.55,409787.0
2024-11-19 12:30:00,AMEX:SPY,589.55,591.06,589.4,590.13,628766.0
2024-11-19 13:30:00,AMEX:SPY,590.12,590.35,589.09,589.89,724922.0
2024-11-19 14:30:00,AMEX:SPY,589.87,590.59,589.69,590.32,826674.0
2024-11-20 08:30:00,AMEX:SPY,590.38,590.53,584.64,585.78,1269676.0
2024-11-20 09:30:00,AMEX:SPY,585.72,587.68,585.62,585.9,730310.0
2024-11-20 10:30:00,AMEX:SPY,585.91,588.79,585.55,587.21,643252.0
2024-11-20 11:30:00,AMEX:SPY,587.2,588.27,586.54,587.6,284513.0
2024-11-20 12:30:00,AMEX:SPY,587.595,587.595,586.16,586.63,376199.0
2024-11-20 13:30:00,AMEX:SPY,586.6,588.52,586.52,588.46,634390.0
2024-11-20 14:30:00,AMEX:SPY,588.49,590.79,588.49,590.47,1447901.0
2024-11-21 08:30:00,AMEX:SPY,593.4,593.57,587.53,587.73,1482201.0
2024-11-21 09:30:00,AMEX:SPY,587.69,592.75,587.43,592.75,838250.0
2024-11-21 10:30:00,AMEX:SPY,592.75,593.27,591.08,593.03,614943.0
2024-11-21 11:30:00,AMEX:SPY,593.04,594.66,592.9,594.43,583457.0
2024-11-21 12:30:00,AMEX:SPY,594.45,594.8,593.52,594.41,587544.0
2024-11-21 13:30:00,AMEX:SPY,594.43,595.12,593.86,594.9,890841.0
2024-11-21 14:30:00,AMEX:SPY,594.91,595.0,593.57,593.62,1047724.0
